alpha2	profile	band	status	selected_resolution	iou	recall	path_bytes	complete_estimate	omissions	note
AD	un	compact	pass	512	0.999767	0.999900	479	759	0	
AD	un	standard	pass	512	0.999789	0.999887	548	828	0	
AD	de_facto	compact	pass	512	0.999767	0.999900	479	759	0	
AD	de_facto	standard	pass	512	0.999789	0.999887	548	828	0	
AE	un	compact	pass	128	0.986007	0.997147	1768	2048	3	
AE	un	standard	pass	512	0.989529	0.999822	5452	5732	0	
AE	de_facto	compact	pass	128	0.986007	0.997147	1768	2048	3	
AE	de_facto	standard	pass	512	0.989529	0.999822	5452	5732	0	
AF	un	compact	pass	160	0.994955	0.997609	2187	2467	0	
AF	un	standard	pass	512	0.999213	0.999595	6529	6809	0	
AF	de_facto	compact	pass	160	0.994955	0.997609	2187	2467	0	
AF	de_facto	standard	pass	512	0.999213	0.999595	6529	6809	0	
AG	un	compact	pass	512	0.998963	0.999222	1026	1306	0	
AG	un	standard	pass	512	0.999422	0.999818	1140	1420	0	
AG	de_facto	compact	pass	512	0.998963	0.999222	1026	1306	0	
AG	de_facto	standard	pass	512	0.999422	0.999818	1140	1420	0	
AI	un	compact	pass	512	0.999086	0.999360	532	812	0	
AI	un	standard	pass	512	0.999096	0.999376	613	893	0	
AI	de_facto	compact	pass	512	0.999086	0.999360	532	812	0	
AI	de_facto	standard	pass	512	0.999096	0.999376	613	893	0	
AL	un	compact	pass	192	0.996567	0.998143	2167	2447	0	
AL	un	standard	pass	512	0.999675	0.999838	4114	4394	0	
AL	de_facto	compact	pass	192	0.996567	0.998143	2167	2447	0	
AL	de_facto	standard	pass	512	0.999675	0.999838	4114	4394	0	
AM	un	compact	pass	128	0.995608	0.998119	2077	2357	0	
AM	un	standard	pass	512	0.998456	0.999945	3692	3972	0	
AM	de_facto	compact	pass	128	0.995608	0.998119	2077	2357	0	
AM	de_facto	standard	pass	512	0.998456	0.999945	3692	3972	0	
AO	un	compact	pass	160	0.997541	0.998977	1952	2232	1	
AO	un	standard	pass	512	0.999463	0.999688	5792	6072	0	
AO	de_facto	compact	pass	160	0.997541	0.998977	1952	2232	1	
AO	de_facto	standard	pass	512	0.999463	0.999688	5792	6072	0	
AQ	un	compact	pass	108	0.970223	0.988429	2142	2422	172	
AQ	un	standard	pass	224	0.977352	0.995025	6570	6850	162	
AQ	de_facto	compact	pass	108	0.970223	0.988429	2142	2422	172	
